Date,Open,High,Low,Close,Adj Close,Volume
27-06-2014,432.460999,436.171997,424.497009,427.761993,425.749786,2621190
30-06-2014,429.394012,431.571014,428.207001,426.722992,424.715668,3244343
01-07-2014,428.207001,448.093994,440.377014,446.015991,443.917908,6431547
02-07-2014,446.609985,453.733002,450.17099,450.963013,448.841644,5826459
03-07-2014,450.963013,467.78299,461.549011,464.765015,462.578735,10138513
04-07-2014,465.011993,469.21701,467.089996,464.467987,462.283112,7059491
07-07-2014,468.970001,474.856995,460.411987,473.768005,471.539368,5301440
08-07-2014,474.411011,479.556,448.192993,465.011993,462.824554,6757729
09-07-2014,464.813995,464.912994,444.97699,452.39801,452.214874,3927485
10-07-2014,455.31601,469.712006,439.089996,448.341003,448.159485,5359992
11-07-2014,450.419006,456.553009,437.903015,441.21701,441.038391,2738220
14-07-2014,440.278015,453.980988,451.852997,451.161011,450.978363,3611521
15-07-2014,453.386993,459.966003,457.196014,457.988007,457.802612,3609320
16-07-2014,461.252991,466.595001,460.213989,465.30899,465.120605,3592347
17-07-2014,462.044006,472.283997,461.401001,470.256012,470.065643,5114632
18-07-2014,466.792999,472.433014,465.011993,470.256012,470.065643,4148084
21-07-2014,471.196014,473.372986,467.238007,469.910004,469.719757,2147835
22-07-2014,469.910004,483.019012,471.69101,481.535004,481.340057,4245592
23-07-2014,480.347992,482.721985,472.036987,479.704987,479.510773,4745189
24-07-2014,478.071991,482.029999,451.557007,480.100006,479.90564,3338882
25-07-2014,480.84201,480.84201,446.510986,456.207001,456.022308,6343512
28-07-2014,451.656006,465.062012,437.30899,449.033997,448.852203,8392066
30-07-2014,450.17099,450.617004,440.326996,446.559998,446.379211,13595306
31-07-2014,448.192993,449.875,433.35199,442.009003,441.830048,9472954
01-08-2014,440.079987,450.914001,436.467987,435.330994,435.154755,8882644
04-08-2014,437.605988,443.641998,439.485992,441.860992,441.682098,7517952
05-08-2014,444.928009,453.040985,440.475006,451.951996,451.769043,4030664
06-08-2014,450.17099,450.17099,435.528992,442.800995,442.621735,4859129
07-08-2014,442.850006,445.571014,425.833008,437.30899,437.131958,4871344
08-08-2014,432.856995,433.203003,432.362,428.306,428.132599,6491180
11-08-2014,434.934998,443.69101,463.428986,441.811005,441.632141,8735749
12-08-2014,475.895996,476.88501,461.153992,468.970001,468.780151,14887583
13-08-2014,471.987,474.757996,468.623993,468.475006,468.285339,6299304
14-08-2014,469.31601,480.694,483.712006,479.457001,479.262909,6417376
18-08-2014,483.859985,500.283997,500.184998,498.45401,498.252228,8656402
19-08-2014,502.114014,515.174011,505.477997,513.343994,513.136169,9965689
20-08-2014,513.492004,516.460022,500.778992,506.813995,506.608826,5467442
21-08-2014,510.523987,512.651001,505.181,507.30899,507.103607,5463932
22-08-2014,509.782013,515.125,499.987,506.121002,505.916107,4404242
25-08-2014,511.514008,512.502991,491.083008,503.005005,502.801361,4005516
26-08-2014,493.209991,509.733002,510.721985,507.209991,507.004669,4724406
27-08-2014,513.393005,518.439026,517.104004,516.164001,515.955017,3905433
28-08-2014,518.142029,526.007996,511.265991,519.478027,519.2677,5597526
01-09-2014,520.41803,523.880981,506.615997,514.481995,514.273743,6321716
02-09-2014,514.481995,515.223999,515.768005,510.770996,510.564209,4700852
03-09-2014,520.517029,524.869995,503.846008,517.054016,516.844666,7395356
04-09-2014,517.153015,517.153015,497.809998,507.556,507.350525,7887160
05-09-2014,507.556,511.118011,497.562988,500.630005,500.427338,10061739
08-09-2014,502.609009,506.566986,502.213013,504.687012,504.482697,9265718
09-09-2014,505.675995,512.898987,506.962006,511.661987,511.454834,9134923
10-09-2014,508.346985,515.421997,505.576996,511.067993,510.861084,7315474
11-09-2014,512.502991,512.799988,507.951996,508.891998,508.685974,3994428
12-09-2014,509.535004,513.838989,504.735992,511.710999,511.503845,4645545
15-09-2014,506.566986,509.929993,489.401001,506.962006,506.756775,3002543
16-09-2014,504.588013,505.329987,486.184998,494.446991,494.246826,5795527
17-09-2014,496.673004,504.092987,495.385986,501.570007,501.366943,5000801
18-09-2014,500.333008,521.210022,511.067993,519.823975,519.613525,7126911
19-09-2014,519.625977,523.385986,508.545013,513.393005,513.185181,5187143
22-09-2014,509.535004,536.742981,510.622986,534.31897,534.102661,7973385
23-09-2014,535.950989,536.84198,501.174011,512.304993,512.097595,7528892
24-09-2014,510.523987,512.255981,494.694,507.951996,507.746368,3887412
25-09-2014,507.259003,509.286987,487.125,498.997986,498.795959,6390237
26-09-2014,496.772003,507.605011,502.263,505.675995,505.471283,7252440
29-09-2014,504.687012,510.127991,494.990997,505.329987,505.125397,5160966
30-09-2014,509.238007,509.238007,493.951996,496.821014,496.619873,5576866
01-10-2014,495.881012,502.015015,497.415009,497.415009,497.213623,3727045
07-10-2014,497.415009,511.31601,496.673004,499.591003,499.388763,5462324
08-10-2014,501.619995,507.259003,507.852997,503.597992,503.394104,3963079
09-10-2014,509.484985,516.955017,484.157013,515.075012,514.866516,3758874
10-10-2014,509.040009,509.040009,474.955994,487.471008,487.273651,7535919
13-10-2014,484.799988,492.912994,480.94101,490.984009,490.785248,5193539
14-10-2014,493.605988,494.891998,482.821014,482.821014,482.625549,3886857
15-10-2014,482.821014,482.821014,476.588013,482.821014,482.625549,0
16-10-2014,480.298004,495.782013,463.033997,478.665985,478.472198,6643745
17-10-2014,478.615997,478.615997,479.457001,470.751007,470.560425,9595388
20-10-2014,482.721985,491.726013,488.51001,489.401001,489.202881,5839604
21-10-2014,493.753998,498.799988,503.252014,496.128998,495.928162,3972593
22-10-2014,503.252014,514.976013,496.920013,513.640991,513.433044,5842953
27-10-2014,511.514008,512.502991,497.712006,498.355011,498.153259,3177279
28-10-2014,500.333008,505.873993,510.028992,503.252014,503.048279,2422396
29-10-2014,510.028992,521.853027,514.580994,520.616028,520.405273,4416090
30-10-2014,516.807007,525.710999,515.421997,521.357971,521.146912,6242397
31-10-2014,520.763977,532.784973,520.664978,530.163025,529.948425,3956551
03-11-2014,524.968994,530.213013,515.718018,525.760986,525.548157,2794485
05-11-2014,523.385986,534.072021,526.552002,530.312012,530.097351,6584901
07-11-2014,531.400024,538.177002,513.244995,527.690002,527.476379,2480435
10-11-2014,525.117981,528.778015,511.612,516.757019,516.547791,3389880
11-11-2014,519.429016,521.901978,516.362,516.164001,515.955017,2551015
